Codebarre;Titre;Editeur;Date_achat;Prix;Frequence;Format;Info;Public
1628;Plextor ConvertX PX-M402U - Digital video convecter;Plextor;02/07/2005;219;26;;Boitier PX-M402U , 4 notices , Cable Audio/vidéo , Cable S-vidéo , Cable USB , Boitier Alim , Cable secteur , Adaptateur Péritel , 1 CD Pilot + appli;
1640;Modem Routeur WIFI DG834PN (Mimo)(sans boite, ni cd pilote);Netgear;3/17/06;422;;;Modem routeur DG834 , 1 bloc alim Netgear PWR10027-02 12V/1A , 1 Cable réseau , 1 filtre Adsl MF601F , 1 cable téléphonique ,  ,  ,  ,;
1641;Clé USB Wifi NETGEAR WPN111 (Mimo);Netgear;04/10/2006;49;9;;1 cle WPN111 sans capuchon ,  ,  ,  ,  ,  ,  ,  ,;
1647;Projecteur vidéo LCD 16/9 Panasonic PTAE900E (1280x720, Périthel, RGB, S-vidéo, HDMI, PC vga);Panasonic;08/11/2006;1 500,00;92;;Projecteur PT-AE900E avec capuchon objectif , 1 télécommande Panasonic 7914Z20 , 1 cable secteur , 1 cable In série/S-vidéo+RGB (0,2m) , 1 cable VGA PC (1,8m) , 1 cable S-vidéo (8m;
1648;Portable Macbook Pro 15,4'' (Intel core duo 2,4Ghz,  2x1Go ram, DD 200Go, Geforce 8600M GT, Graveur DVD RW, Réseau wifi, Bluetooth, LAN);Macintosh;9/23/06;2 000,00;35;;Macbook pro , 1 batterie Macbook , 1 bloc alim Apple 85W , 1 cable secteur +T Mac , 1 prise télécom + fil , 2 CDs Install Mac OS X , 1 notice , housse + lanière ,;
1653;Tablette Graphique A4 Wacom Intuos3 (PTZ-930G);Wacom;12/14/06;200;22;;Tablette graphire3 USB PTZ-930 , Souris sans fils Wacom ZC-100-00A , 1 Stylet ZP-501E-00A , Porte stylet , 5 pointes de stylet , 1 notice rapide , 1 Cd driver 4.96 + 1CD painter Es;
1657;Switch 5 ports 10/100 Mhz DES-1005D;D-link;9/25/07;18;6;;Boitier switch DES1005D , Bloc alim secteur D-link 7,5v 1A , 1 notice Anglais, 1guide rapide FR ,  ,  ,  ,  ,  ,;
1660;Adaptateur USB 2.0 /IDE 5.25'' , 3.5'' , 2.5'' (DVD/CD - HDD);;11/29/07;15,89;8;;Adaptateur USB - IDE , Bloc alim T1205-2A , 1 cable secteur , Cable USB (mini prise/USB2 , 1 mini CD , 1 feuille notice ,  ,  ,;
1661;Adaptateur USB 2.0 /IDE 5.25'' , 3.5'' , 2.5'' (DVD/CD - HDD);;11/29/07;15,89;12;;Adaptateur USB - IDE , Bloc alim T1205-2A , 1 cable secteur , Cable USB (mini prise/USB2 , 1 mini CD , 1 feuille notice ,  ,  ,;
1663;Cable vidéo HDMI / DVI-D male/male 2,5m;;11/29/07;9;8;;1 cable HDMI - DVI ,  ,  ,  ,  ,  ,  ,  ,;
1664;cable convertisseur usb1.0 - parrallele (1284 centronics) TU-P1284;TrendNet;11/29/07;16,01;4;;1 cable Convertisseur , 1 guide rapide ,  ,  ,  ,  ,  ,  ,;
1665;cable HDMI male/male 2m;APM;11/29/07;17,02;4;;1 cable HDMI , 2 capuchons prises ,  ,  ,  ,  ,  ,  ,;
1666;cable HDMI male/male 2m;APM;11/29/07;17,02;12;;1 cable HDMI , 2 capuchons prises ,  ,  ,  ,  ,  ,  ,;
1671;Disque Dur Externe 2,5'' USB2  160 Go WD Passport II;Western Digital;03/10/2008;110;30;;Disque dur rouge , Cable USB , Sacoche rouge ,  ,  ,  ,  ,  ,;
1672;Disque Dur Externe 2,5'' USB2  160 Go WD Passport II;Western Digital;03/10/2008;110;25;;Disque dur rouge , Cable USB , Sacoche rouge ,  ,  ,  ,  ,  ,;
1673;Lecteur mémoire SanDisk 12en1 - USB 1.1-2.0: Memory stick, CompactFlash, SD, miniSD, MediaCard, MMC, SmartMedia, XD;SanDisk;5/28/08;26,7;6;;Lecteur graveur 12en1 , socle bureau USB , cable USB , 1 CD installation + application , 1 Notice ,  ,  ,  ,;
1675;GPS portable TomTom GO 730 Traffic Europe 31;TomTom;5/28/08;519;60;;Appareil GO 730 , Fixation ventouse parebrise , Recepteur TMC avec 3 ventouses , Socle Bureau USB , Chargeur voiture , 2 notices + 1 guide rapide , 1 CD tomtom Home , Housse + lani;
1682;Modem Routeur WIFI DG834G  54Mb(802,11g) (4 ports 10/100Mb);Netgear;;;5;;Modem routeur DG834G , 1 antenne , 2 supports , 1 cable ethernet , 1 bloc alim Netgear PWR10027-02 (12v/1A) , 1 filtre ADSL , 1 cable téléphonique , Cd et notice manquante ,;
1684;Camescope DV digital JVC GR-DVX4EG;JVC;12/17/99;1 217,00;6;;Caméra GR-DV X4 avec lannière + 4 cassettes mini DV , adaptateur caméra/alim , 1 chargeur double JVC AA-V50 , 2 batteries JVC + Vivanco , Base multimédia CU-V501 , Cable S-vidéo ,;
1685;GPS USB HI-204III SIRF 3 pour PC/PDA;Haicom;12/11/2008;74,9;4;;GPS HI-204III , Adpatateur USB , Ventouse , manuel , 1 mini CD drivers ,  ,  ,  ,;
1686;Graveur dvd externe blu-ray Plextor PX-B920UF - USB/IEEE 1394 - LightScribe;Plextor;1/19/09;270;46;;1 graveur PX-B920UF , 1 bloc alim APD 12V/2A , 1 cable secteur , 1 cable USB , 1 cable DV6/6, 1 notice rapide , 1 CD (burnNow 4.5, dvd movieFactory 5.5, WinDvd 8) ,  ,  ,;
1690;Lecteur de Disquette Externe USB 2.0;Sony;2/17/09;24,99;1;;Lecteur floppy USB ,  ,  ,  ,  ,  ,  ,  ,;
1691;Trousse de voyage 7 en 1 cäbles rétractables - câbles et adaptateurs USB (B, 4pin miniB, 5pin miniB), RJ11 et RJ45(inverseur);Belkin;2/17/09;19,9;;;1 cable USB enrouleur , 1 cable réseau enrouleur , 1 cable téléphonique enrouleur , 3 adaptateurs USB , 1 inverseur réseau , 1 trousse ,  ,  ,;
1692;Bluetooth USB adapter - 100m;Emtec;2/17/09;12,79;9;;1 clé USB bluetooth EKCOB100 + capuchon , 1 miniCD , 1 feuille notice ,  ,  ,  ,  ,  ,;
1693;Commandes de Vol X52 programmable, ajustable - USB;Saitek;2/17/09;125;8;;2 joystiks X52 , 8 ventouses , 1 cable jonction , 1 CD pilote , 3 feuillets ,  ,  ,  ,;
1694;Cable  DV FireWire IEEE 1394 6/6 - longeur:1,8m;Fnac;2/17/09;17,39;;;1 cable 1394 ,  ,  ,  ,  ,  ,  ,  ,;
1695;Pince à Sertir pour Prises Réseau RJ45 et Téléphone;Velleman;2/17/09;19,64;10;;1 pince VTM8 , Notice ,  ,  ,  ,  ,  ,  ,;
1696;Cable DV FireWire IEEE 1394 4/6 - longeur:1,8m;Fnac;2/17/09;16,5;5;;1 cable 1394 4/6 ,  ,  ,  ,  ,  ,  ,  ,;
1697;Console Wii - Nintendo +  4 Wiimote + 4 Nunchuk + 5 jeux Wii  (tennis, baseball, boxe, golf, bowling);Nintendo;5/15/09;685,21;75;WII;1 console Wii + 1 socle console , 1 bloc alim RVL-002 (12v-3,7A) , 4 Wiimote avec sangle + 4 Wii Motion Plus avec 4 Etui silicone long  , 4 Nunchuk , 1 capteur Wii + 1 socle plasti;
1701;2 Wiimote + 2 Wii Motion Plus + 2 Nunchuk - Nintendo;Nintendo;5/15/09;110,22;27;WII;2 Wiimote avec sangle et petit Etui silicone , 2 notices Wiimote , 2 Wii Motion Plus+ grand Etui silicone, 2 notices, 2 Nunchuk , 2 notices Nunchuks ,  ,  ,  ,  ,;
